Alcaldía,Fecha,Predicción de Delitos
CUAUHTEMOC,2024-05-18,73
CUAUHTEMOC,2024-05-19,66
CUAUHTEMOC,2024-05-20,75
CUAUHTEMOC,2024-05-21,73
CUAUHTEMOC,2024-05-22,72
CUAUHTEMOC,2024-05-23,72
CUAUHTEMOC,2024-05-24,71
CUAUHTEMOC,2024-05-25,73
CUAUHTEMOC,2024-05-26,68
CUAUHTEMOC,2024-05-27,74
CUAUHTEMOC,2024-05-28,73
CUAUHTEMOC,2024-05-29,71
CUAUHTEMOC,2024-05-30,68
CUAUHTEMOC,2024-05-31,70
CUAUHTEMOC,2024-06-01,70
CUAUHTEMOC,2024-06-02,68
CUAUHTEMOC,2024-06-03,72
CUAUHTEMOC,2024-06-04,71
CUAUHTEMOC,2024-06-05,68
CUAUHTEMOC,2024-06-06,75
CUAUHTEMOC,2024-06-07,73
CUAUHTEMOC,2024-06-08,73
CUAUHTEMOC,2024-06-09,72
CUAUHTEMOC,2024-06-10,70
CUAUHTEMOC,2024-06-11,71
CUAUHTEMOC,2024-06-12,68
CUAUHTEMOC,2024-06-13,72
CUAUHTEMOC,2024-06-14,70
CUAUHTEMOC,2024-06-15,69
CUAUHTEMOC,2024-06-16,68
CUAUHTEMOC,2024-06-17,69
CUAUHTEMOC,2024-06-18,72
CUAUHTEMOC,2024-06-19,69
CUAUHTEMOC,2024-06-20,68
CUAUHTEMOC,2024-06-21,71
CUAUHTEMOC,2024-06-22,67
CUAUHTEMOC,2024-06-23,66
CUAUHTEMOC,2024-06-24,69
CUAUHTEMOC,2024-06-25,71
CUAUHTEMOC,2024-06-26,69
CUAUHTEMOC,2024-06-27,71
CUAUHTEMOC,2024-06-28,71
TLAHUAC,2024-01-01,16
TLAHUAC,2024-01-02,16
TLAHUAC,2024-01-03,16
TLAHUAC,2024-01-04,16
TLAHUAC,2024-01-05,16
TLAHUAC,2024-01-06,16
TLAHUAC,2024-01-07,16
TLAHUAC,2024-01-08,16
TLAHUAC,2024-01-09,16
TLAHUAC,2024-01-10,16
TLAHUAC,2024-01-11,16
TLAHUAC,2024-01-12,16
TLAHUAC,2024-01-13,16
TLAHUAC,2024-01-14,16
TLAHUAC,2024-01-15,16
TLAHUAC,2024-01-16,16
TLAHUAC,2024-01-17,16
TLAHUAC,2024-01-18,16
TLAHUAC,2024-01-19,16
TLAHUAC,2024-01-20,16
TLAHUAC,2024-01-21,16
TLAHUAC,2024-01-22,16
